link|title|author|date|content
https://www.cnn.com/2023/11/20/middleeast/gaza-refugees-cairo-hospital-intl-cmd/index.html|One evacuated from northern Gaza, the other didn’t. They’re in the same hospital now|cnn|2023-11-20T15:53:09.370Z|When Rami Mahmoud left his family’s home to buy food, his wife, Elham Maged, stayed behind to pray. When he made his way back through the narrow, tightly packed nearby streets of northern Gaza’s Jabalya Refugee Camp, he returned to a scene of complete chaos. An Israeli airstrike had smashed into the center of the densely populated community, tearing a deep crater into its heart. Their apartment had vanished.
https://www.cnn.com/2023/11/20/us/5-things-to-know-for-nov-20-israel-campaign-trail-weather-freeway-fire-microsoft/index.html|5 things to know for Nov. 20: Israel, Campaign trail, Weather, Freeway fire, Microsoft|cnn|2023-11-20T15:53:25.553Z|CNN’s 5 Things brings you the news you need to know every morning.
https://www.cnn.com/2023/11/20/china/china-arab-countries-beijing-israel-hamas-conflict-intl-hnk/index.html|China calls for ‘urgent’ action on Gaza as Muslim majority nations arrive in Beijing|cnn|2023-11-20T10:17:50.296Z|The world must “must act urgently” to stem the conflict in Gaza, China’s top diplomat said Monday during a meeting with officials from Arab and Muslim majority nations, as Beijing steps up its efforts to play a role in establishing ceasefire in the Israel-Hamas conflict.
https://www.cnn.com/2023/11/20/world/gaza-al-shifa-hospital-babies-evacuated-intl-hnk/index.html|Premature, sick babies arrive in Egypt from Gaza after Al-Shifa evacuation|cnn|2023-11-20T15:52:51.889Z|Ambulances carrying premature, sick babies crossed the Rafah border crossing into Egypt for life-saving treatment on Monday, according to live video broadcast on Egyptian state TV, after they were evacuated from Al-Shifa hospital in northern Gaza.
https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-11-20-23/index.html|Israel-Hamas war rages as humanitarian crisis spirals in Gaza|cnn|2023-11-20T15:56:38.659Z|Israel is releasing videos that it says prove Hamas uses Gaza’s largest hospital, Al-Shifa, for combat purposes. Several staff, patients and sheltering Palestinians have fled Al-Shifa since Israel raided the hospital. Follow live updates.
https://www.cnn.com/2023/11/20/middleeast/israel-lebanon-hezbollah-tiberias-evacuation-intl/index.html|‘Never going back:’ Israelis evacuated from border town with Lebanon fear war with Hezbollah|cnn|2023-11-20T08:26:44.279Z|It should be the height of tourist season in Tiberias, an Israeli city on the western shore of the Sea of Galilee where the New Testament says many of Jesus’ miracles were performed.
https://www.cnn.com/2023/11/20/middleeast/gaza-tunnel-shaft-al-shifa-hospital-intl-hnk/index.html|CNN visited the exposed tunnel shaft near Al-Shifa Hospital. Here’s what we saw|cnn|2023-11-20T10:23:36.729Z|With the Israeli Defense Forces, we traveled in a convoy of darkened Humvees to see the entrance of the newly exposed tunnel shaft in the compound of Al-Shifa Hospital.
https://www.cnn.com/2023/11/19/politics/hamas-hostage-release-deal-pending/index.html|Negotiators nearing a deal for initial release of dozens of hostages held by Hamas|cnn|2023-11-20T02:44:45.034Z|A recent draft of a possible deal to secure the release of hostages that Hamas is holding in Gaza proposes a four- to five-day pause in fighting for the initial release of 50 hostages, two sources familiar with the talks tell CNN.
https://www.cnn.com/2023/11/19/us/palestine-paterson-new-jersey-gaza/index.html|A world away from Gaza, Palestinian Americans in this New Jersey community hold their breath|cnn|2023-11-19T19:11:18.758Z|Whether they have family in Gaza or the West Bank, Palestinian Americans here in northern New Jersey live with an unrelenting sense of dread
https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-11-19-23/index.html|November 19, 2023 Israel-Hamas war|cnn|2023-11-20T05:21:54.090Z|The US and Qatar gave upbeat assessments this weekend on negotiations to release Hamas hostages, while aid workers staged a perilous evacuation of newborns from Gaza’s largest hospital. Follow for live updates.
